序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3
193,Northeastern University（Vancouver）,MS,Analytics — Vancouver,东北大学（加拿大温哥华校区）,Experiential learning with a portfolio of work samples is required.,SUCCESS,Experiential learning with a portfolio of work samples is required.,Professional portfolio required.,The Master of Professional Studies in Analytics program requires the completion of a credit-bearing experiential requirement which leads to a portfolio of work samples.,Experiential learning with a portfolio of work samples is required.
194,Northeastern University（Vancouver）,MS,Master of Science in Data Analytics Engineering,东北大学（加拿大温哥华校区）,Research project/thesis required.,SUCCESS,Research project/thesis required.,Research project/thesis required,"The program page (URL 2) for ""Master of Science in Data Analytics Engineering"" explicitly states: ""The research project/thesis course is a requirement for students taking the Data Analytics Engineering program in Vancouver.""",Research project/thesis is required.
195,Northeastern University（Vancouver）,MS,Master of Science in Data Analytics Engineering,东北大学（加拿大温哥华校区）,Research project/thesis required.,SUCCESS,Research project/thesis required.,Research project/thesis required.,Research project/thesis required.,Research project/thesis required.
196,Northeastern University（Boston）,硕士预科项目,Analytics（College of Professional Studies）,Global Pathways项目,A professional portfolio of work samples is required.,SUCCESS,A professional portfolio of work samples is required.,"The browsed pages provide information about the Global Pathways program, application process, and general information about the Analytics program. However, neither page explicitly states non-coursework graduation requirements (like capstone, thesis, exam, etc.) for the Master of Professional Studies (MPS) in Analytics, which is the target degree after completing the Global Pathways program. The second URL mentions ""To explore course requirements and curriculum information for this program, please visit the Academics Page for the most up-to-date information."" This suggests I need to find the ""Academics Page"" for the MPS in Analytics.

I will now use the search guideline provided.
Search query: ""Northeastern University（Boston） 硕士预科项目 Analytics（College of Professional Studies） graduation requirement capstone thesis practicum exam site:.edu""
I will look for authoritative statements on .edu sites.",An experiential project is required.,A professional portfolio of work samples is required.
197,Northeastern University（Boston）,硕士预科项目,Data Analytics Engineering（College of Engineering）,Global Pathways项目,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,"The provided URLs are for the ""Global Pathways"" program, which seems to be a pre-master's program, not the Master of Science in Data Analytics Engineering itself. While the second URL mentions ""Degree Progression to MS Data Analytics Engineering"", it doesn't detail the graduation requirements for the MS program, only the entry requirements *into* the MS program after completing the Global Pathways. It mentions ""To explore course requirements and curriculum information for this program, please visit the Academics Page for the most up-to-date information.""

I need to find the specific graduation requirements for the *Master of Science in Data Analytics Engineering* program. I will look for an ""Academics Page"" or similar under the Northeastern University domain. I will perform a search as suggested in the instructions if I cannot find it directly.

Given the information, I will now use the search tool to find the graduation requirements for the *Master of Science in Data Analytics Engineering* directly, focusing on the `site:.edu` domain.
","The browsed pages provide information about applying to the Global Pathways program and the Data Analytics Engineering program itself, including entry requirements, tuition, and duration. However, neither page explicitly mentions non-coursework graduation requirements such as a capstone, thesis, or comprehensive exam for the Master of Science in Data Analytics Engineering. The program page states ""To explore course requirements and curriculum information for this program, please visit the Academics Page for the most up-to-date information."" This suggests I need to find the ""Academics Page"" for the MS in Data Analytics Engineering.

Since the current pages don't contain the specific information, I will perform the suggested search to find more details, focusing on .edu domains."
198,Northeastern University（Boston）,硕士预科项目,Data Analytics Engineering（College of Engineering）,Global Pathways项目,Capstone project or research thesis option available.,SUCCESS,Capstone project or research thesis option available.,Capstone or thesis option available.,"The initial browse results mainly discuss admission requirements for the Global Pathways program and the transition to the Master of Science in Data Analytics Engineering. Neither page explicitly states non-coursework graduation requirements for the Master's program itself. The second URL mentions ""Curriculum"" and ""Academics Page"" for course requirements. I need to find the ""Academics Page"" for the Data Analytics Engineering program.

Since the provided URLs don't directly answer the question, I will perform a search as instructed, focusing on .edu domains.",Capstone project or research thesis option available.
199,Northeastern University（Boston）,硕士预科项目,Data Architecture and Management（College of Engineering）,Global Pathways项目,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,Not found,
200,Northeastern University（Boston）,硕士预科项目,Data Architecture and Management（College of Engineering）,Global Pathways项目,API_ERROR: Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),API_ERROR,Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),No additional graduation requirement.,Not found,Not found
201,Florida State University,PHD,Data Science,文理学院,"Qualifying examination, doctoral candidacy exam, and dissertation are required.",SUCCESS,"Qualifying examination, doctoral candidacy exam, and dissertation are required.","Qualifier exams, a doctoral candidacy exam, and a dissertation are required.","Qualifying examination, doctoral candidacy exam, and dissertation are required.","Written qualifying examinations, a doctoral candidacy exam, and a research thesis are required."
202,Florida State University,MS,Data Science,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
203,Florida State University,MS,Statistical Data Science ,文理学院,Capstone project required or thesis option available.,SUCCESS,Capstone project required or thesis option available.,Capstone project or research thesis required.,Capstone project required or thesis option available.,Capstone project required or thesis option available.
204,Florida State University,MS,Statistical Data Science ,文理学院,Capstone project or thesis option available.,SUCCESS,Capstone project or thesis option available.,"The ""Master of Science Degree | Department of Statistics"" page is relevant. It states: ""All MS degrees may be obtained through course work or a thesis option.""

Specifically for the ""Master of Science in Statistics with Major in Statistical Data Science"", it lists STA5939 Introduction to Statistical Consulting (Capstone project) as a required course.

It also states, ""The thesis option requires writing a thesis and an oral defense before the thesis committee.""

So, there's a coursework-only option, a thesis option, and the Statistical Data Science major specifically requires a capstone project. The prompt asks for *all* requirements that go beyond regular coursework.

The Master of Science in Statistical Data Science requires a capstone project.
Additionally, for *all* MS degrees, a thesis option is available which involves writing and orally defending a thesis.

So, the non-coursework requirements are a capstone project for the Statistical Data Science major, or a thesis and oral defense as an option for all MS degrees.

The question is specifically about ""Florida State University MS Statistical Data Science"".

For the MS in Statistical Data Science, STA5939 Introduction to Statistical Consulting (Capstone project) is listed as a required course. This is a specific non-coursework requirement.

The document states ""All MS degrees may be obtained through course work or a thesis option."" This implies the MS in Statistical Data Science *could* also have a thesis option, but it also lists the capstone as a *required course* within its curriculum.

Let's re-read carefully: ""The Department of Statistics at FSU offers two MS degrees in Statistics: an MS in Statistics (36 Required Credit Hours) and an MS in Statistics with major in Statistical Data Science (32 Required credit hours).""

""All MS degrees may be obtained through course work or a thesis option."" This is a general statement.

Then under ""Master of Science in Statistics with Major in Statistical Data Science"", it lists ""STA5939 Introduction to Statistical Consulting (Capstone project)"" as a required course. This seems to be the specific non-coursework requirement for this particular major.

If ""All MS degrees may be obtained through course work or a thesis option,"" and the Statistical Data Science degree *requires* a capstone project, does that mean the capstone is the ""course work"" option, or is the capstone *in addition* to the coursework/thesis option? The way it's phrased, the capstone is a *required course* within the curriculum.

Let's consider the output format: ""Summarize the requirement(s) in one concise sentence—no quotes, no explanations. If multiple options exist, describe them briefly (e.g., “Capstone or thesis option”). If the program states there are no additional requirements, say so (e.g., “No additional graduation requirement”).""

The wording ""STA5939 Introduction to Statistical Consulting (Capstone project)"" strongly suggests the capstone project is the non-coursework component for this specific program. The general statement about ""thesis option"" applies to ""All MS degrees"".

Since the capstone is listed as a *required course* for the MS in Statistical Data Science, it *is* a non-coursework requirement (a project).

Is it possible to do a thesis *instead* of the capstone for the Statistical Data Science MS? The text says ""All MS degrees may be obtained through course work or a thesis option."" This implies flexibility. However, the data science program explicitly lists the capstone as a required course.

If it's ""course work or a thesis option"" generally, and the data science major lists a capstone as a required course, then it seems like the capstone *is* part of the coursework option for this specific degree.

Let's check the thesis option section again: ""Master of Science in Statistics or Biostatistics, Thesis Option"". It does not explicitly mention the ""Statistical Data Science"" major here, only ""Statistics or Biostatistics"". This might suggest the thesis option doesn't apply to the Statistical Data Science major.

Given the explicit listing of the ""Capstone project"" as a required course for the MS in Statistical Data Science, this is the most direct and certain non-coursework requirement. The general ""thesis option"" is described for ""Statistics or Biostatistics"", not explicitly for ""Statistical Data Science"".

Therefore, I will focus on the capstone project.
The capstone project is required for the MS in Statistical Data Science.",Capstone project or thesis option available.,Capstone project or thesis option available.
205,"University of Minnesota, Twin Cities",MS,Data Science M.S.,理工学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
206,"University of Minnesota, Twin Cities",MS,M.S. in Data Science in Operations Research,理工学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
207,"University of Minnesota, Twin Cities",MS,M.S. in Industrial and Systems Engineering (Analytics Track),理工学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
208,"University of Minnesota, Twin Cities",MS,MS Mathematics: Data Science,理工学院,Thesis or comprehensive final oral exam required.,SUCCESS,Thesis or comprehensive final oral exam required.,Thesis or comprehensive final oral exam required.,"Thesis or comprehensive final oral exam required, depending on chosen plan.",Thesis or comprehensive final oral exam required.
209,College of William & Mary,MS,Applied Science—Data Science,文理学院,Thesis or research project required.,SUCCESS,Thesis or research project required.,Thesis or research project required.,Thesis or research project required.,Thesis or research project required.
210,College of William & Mary,Ph.D,Applied Science—Data Science,文理学院,"Comprehensive qualifying examination, substantial original research project and dissertation, and public oral defense are required.",SUCCESS,"Comprehensive qualifying examination, substantial original research project and dissertation, and public oral defense are required.","Comprehensive qualifying examination, substantial original research project and dissertation, and a public oral defense are required.","Comprehensive qualifying examination, a substantial original research project, and a dissertation defense are required.","Comprehensive qualifying examination, original research project with dissertation, and public oral defense are required."
211,College of William & Mary,MS,Applied Science—Data Science,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=330, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=330)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2377, traffic_type=None) automatic_function_calling_history=[] parsed=None",Thesis with oral examination or a research project required.,Thesis and oral examination or a research project required.,Research thesis with oral defense or a research project required.
212,College of William & Mary,Ph.D,Applied Science—Data Science,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=349, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=349)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2396, traffic_type=None) automatic_function_calling_history=[] parsed=None","Comprehensive qualifying examination, a substantial original research project and dissertation, and a public oral examination are required.","Comprehensive qualifying examination, research dissertation, and a public oral dissertation defense are required.","Comprehensive qualifying examination, original research dissertation, and public oral defense required."
213,University of Connecticut,M.S.,Data Science,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=321, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=321)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2368, traffic_type=None) automatic_function_calling_history=[] parsed=None",A 3-credit hour applied industry-based capstone project is required.,The,Capstone project required.
214,"Stony Brook University, SUNY",MS,"Data Science 
",工程与应用科学学院,Internship or master's thesis required.,SUCCESS,Internship or master's thesis required.,Internship or master thesis required.,Internship or master's thesis required.,Internship or master's thesis required.
215,"Stony Brook University, SUNY",PHD,"Data Science 
",工程与应用科学学院,Doctoral qualifying exam and research thesis are required.,SUCCESS,Doctoral qualifying exam and research thesis are required.,Doctoral qualifying exam and research thesis required.,A doctoral qualifying exam and a research thesis are required.,Research thesis and a doctoral qualifying exam are required.
216,"Stony Brook University, SUNY",MS,"Data Science 
",工程与应用科学学院,Internship or master's thesis required.,SUCCESS,Internship or master's thesis required.,Internship or master thesis required as a capstone experience.,Internship or master's thesis required.,Internship or master thesis is required.
217,"Stony Brook University, SUNY",PHD,"Data Science 
",工程与应用科学学院,A research thesis and a doctoral qualifying exam are required.,SUCCESS,A research thesis and a doctoral qualifying exam are required.,Research thesis and qualifying exam required.,A research thesis and a written doctoral qualifying exam are required.,Doctoral qualifying exam and research thesis required.
218,"North Carolina State University, Raleigh",MCS, Computer Science- Data Science,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
219,"North Carolina State University, Raleigh",MS,Advanced Analytics,研究生院,A practicum project is required.,SUCCESS,A practicum project is required.,,A practicum project is required.,A practicum project is required.
220,"Pennsylvania State University, University Park",MS,Informatics(Data Sciences),信息科学与技术学院,Thesis or scholarly paper required.,SUCCESS,Thesis or scholarly paper required.,Thesis or scholarly paper required.,Thesis or scholarly paper required.,Thesis or scholarly paper required.
221,Rensselaer Polytechnic Institute,MS,Information Technology,科学学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=340, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=340)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2387, traffic_type=None) automatic_function_calling_history=[] parsed=None","Capstone course, master's project, or master's thesis required.",Capstone project or master's project/thesis required.,"Capstone project, master's project, or master's thesis required."
222,Rensselaer Polytechnic Institute,MS,Information Technology,科学学院,"Capstone, master's project, or thesis option available.",SUCCESS,"Capstone, master's project, or thesis option available.","Capstone course, master's project, or master's thesis required.","Capstone, master's project, or thesis option available.",Capstone project or Master's Project/Thesis option available.
223,Michigan State University,MS,MASTER'S IN BUSINESS DATA SCIENCE & ANALYTICS,商学院,An experiential analytics project and a final oral examination or evaluation are required.,SUCCESS,An experiential analytics project and a final oral examination or evaluation are required.,Experiential project required.,Experiential project consulting is required.,An experiential analytics project and a final oral examination or evaluation are required.
224,Michigan State University,MS,Master of Science  in Data Science,自然科学学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=348, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=348)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2395, traffic_type=None) automatic_function_calling_history=[] parsed=None",A capstone project and a final examination or evaluation are required.,"A 3-credit capstone project and a final examination or evaluation are required.
",A 3-credit capstone course and a final examination or evaluation are required.
225,"University of Massachusetts, Amherst",MS,Master of Science in Computer Science（DATA SCIENCE ）,信息与计算机科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Master's Project option available.,No additional graduation requirement.,No additional graduation requirement.
226,"University of Massachusetts, Amherst",MS,Master of Science in Computer Science（DATA SCIENCE ）,信息与计算机科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
227,University of Miami,MS, Master of Science in Data Science,文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required.","Internship, project, or capstone required."
228,University of Miami,MS, Master of Science in Data Science：Technical Data Science (College of Arts & Sciences and College of Engineering),文理学院,"Internship, project, or capstone required.",SUCCESS,"Internship, project, or capstone required.",,"Internship, project, or capstone required.","Internship, project, or capstone required."
229,University of Pittsburgh,MS,Master of Science in Information Science,计算机和信息学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
230,University of Pittsburgh,MS,Master of Science in Information Science,计算机和信息学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
231,University of Pittsburgh,MS,Master of Science in Information Science,计算机和信息学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,"The Admission FAQ page doesn't seem to have information about specific graduation requirements beyond general admissions.
The Program URL for Information Science, MS has a ""Degree Requirements"" section. It lists ""Required Core Courses"" and ""Elective Courses"".
Under ""Elective Courses"", it states: ""students",No additional graduation requirement.,No additional graduation requirement
232,University of Pittsburgh,PHD,Doctor of Philosophy in Information Science,计算机和信息学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=344, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=344)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2391, traffic_type=None) automatic_function_calling_history=[] parsed=None","Preliminary examination, comprehensive examination, and a research thesis (dissertation) are required.","Preliminary examination, comprehensive examination, and a dissertation with an approved proposal are required.","Preliminary examination, comprehensive examination, and a dissertation are required."
233,University of Pittsburgh,MS,Industrial Engineering：Data Science,工程学院,Thesis option available.,SUCCESS,Thesis option available.,A research thesis is an option for the Master of Science in Industrial Engineering program.,"The first URL is about graduate admissions in general, and the second URL is about the Master's Program. I need to look for ""Requirements"" or ""Curriculum"" links within the Master's Program page.

On the Master's Program page, I see ""Program Offerings"" which lists ""Requirements"". I will check that link.
The current page is `https://www.engineering.pitt.edu/departments/industrial/graduate/masters/masters-program/`.
I will look for a link within this page that specifically says ""Requirements"" under ""Program Offerings"". I will click on ""Requirements"" from the ""Master's Program"" page under ""Program Offerings"".

Since I cannot directly click on links from the previous browse, I need to assume the URL structure or find it on the page content.
Looking at the content of the ""Master's Program"" page, I see ""Program Offerings Master of Science Joint Programs Certificates Requirements Graduate Co-Op"". It does not provide direct links to these sub-sections.

I will try to construct a likely URL, or search again.
Given the structure `https://www.engineering.pitt.edu/departments/industrial/graduate/masters/masters-program/`, it is possible that requirements are on a sub-page, like `https://www.engineering.pitt.edu/departments/industrial/graduate/masters/masters-program/requirements/`.

Alternatively, I can use the search query as suggested. I will try the search query, as it's more reliable than guessing URLs.

""University of Pittsburgh MS Industrial Engineering：Data Science graduation requirement capstone thesis practicum exam site:.edu""",Thesis option with 6-8 thesis credits available.
234,University of Pittsburgh,MS,Industrial Engineering：Data Science,工程学院,"A thesis option is available, requiring 6-8 thesis credits.",SUCCESS,"A thesis option is available, requiring 6-8 thesis credits.","A thesis option is available for the Master's program, requiring 6-8 thesis credits.","A thesis option is available, requiring 6-8 thesis credits.","The first URL is about graduate admissions, and the second one is about the Master's Program. Neither of them directly state non-coursework graduation requirements. The second page, ""Master's Program"", has a section ""Master's Program"" which likely contains what I need. Under ""Master's Program"" there is ""Requirements"" and ""Graduate Manual"". The ""Graduate Manual"" seems promising. Let's look for a link to ""Requirements"" or ""Graduate Manual"" on the page.

Looking at the content of the ""Master's Program"" page, there's a link ""IE Graduate Courses"", ""Graduate Manual"". I will check the ""Graduate Manual"". I need to find the specific URL for the Graduate Manual. Since it's not directly provided in the content, I will try to find it by using the previous URL as base.

The ""Master's Program"" page also mentions ""Program Offerings"" and ""Requirements"". I need to find the link for ""Requirements"" specifically for the MS Industrial Engineering.

I don't see a direct link to the ""Graduate Manual"" or ""Requirements"" from the browsed content that I can click. I will use a concise search for ""University of Pittsburgh MS Industrial Engineering Data Science graduation requirements"" on the pitt.edu domain.
"
235,George Washington University,MS,Data Science ,文理学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
236,George Washington University,MS,Data Science ,文理学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
237,George Washington University,MS,Data Analytics ,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
238,George Washington University,MS,Data Analytics ,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
239,Villanova University,MS,MS IN APPLIED STATISTICS AND DATA SCIENCE,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,A comprehensive exam is required.,Not found,Not found
240,Villanova University,MS,MS IN APPLIED STATISTICS AND DATA SCIENCE,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=312, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=312)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2359, traffic_type=None) automatic_function_calling_history=[] parsed=None",A comprehensive exam is required.,No additional graduation requirement.,The
241,Villanova University,MS,MS IN APPLIED STATISTICS AND DATA SCIENCE,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Not found
242,Syracuse University,MS,APPLIED DATA SCIENCE,信息研究学院,A personal portfolio of projects is required.,SUCCESS,A personal portfolio of projects is required.,Professional portfolio of projects required.,A personal portfolio of projects is required as an exit requirement.,A personal portfolio of projects is required.
243,Syracuse University,MS,APPLIED DATA SCIENCE,信息研究学院,Professional portfolio of projects required.,SUCCESS,Professional portfolio of projects required.,A professional portfolio of projects is required.,Professional portfolio required.,A personal portfolio of projects is required as an exit requirement.
244,Syracuse University,PHD,Information Science and Technology,信息研究学院,Research thesis and research and teaching practica are required.,SUCCESS,Research thesis and research and teaching practica are required.,Research thesis and research and teaching practica are required.,Research thesis and research and teaching practica are required.,A research thesis/dissertation and research and teaching practica are required.
245,"Binghamton University, SUNY",MS,Data Analytics (MS),研究生跨学科项目,Two practicum courses with real-world projects are required.,SUCCESS,Two practicum courses with real-world projects are required.,"The browsed pages provide information about admissions, curriculum, and faculty, but do not explicitly state non-coursework graduation requirements like a thesis, capstone, or exam. However, the program overview mentions ""Real-world projects"" and ""2 Practicum courses with real-world projects"". This suggests that applied projects are part of the curriculum, which might be a non-coursework requirement. I will check the ""Curriculum"" and ""Projects"" sections on the program's website for more details.",The MS Data Analytics program requires two practicum courses with real-world projects.,Practicum courses with real-world projects are required.
246,"Binghamton University, SUNY",MS,MS in Information Systems: Applied Data Science,工程学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,Not found,Not found,"The first URL is about Graduate Admissions for Information Systems and mentions the Applied Data Science track but doesn't list specific graduation requirements beyond coursework.
The second URL is specifically for the ""MS in Information Systems: Applied Data Science Track"" and details required and elective courses. However, it also does not mention any non-coursework graduation requirements like a capstone, thesis, or exam.

Since neither of the initial URLs provides the information, I will now use the specified Google search query."
247,"Indiana University, Bloomington",M.S., Dual M.S. Degree program in Statistical Science and Data Science,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,The,"The browsed page mentions ""Students will still complete the existing requirements of each individual degree."" This implies I need to check the requirements for the individual M.S. in Statistical Science and M.S. in Data Science programs.

I will go back to the ""Degree Programs"" section on the left navigation and look for those two specific programs.
The page has links for:
- Master of Science in Statistical Science
- Master of Science in Applied Statistics
- Dual M.S. in Data Science and an M.S. in Applied Statistics
- Ph.D. Minor in Statistical Science

It also states: ""Students in this program satisfy the requirements of both the Data Science and Statistical Science M.S. programs"".
I need to find the specific page for ""Master of Science in Statistical Science"" and the ""Data Science M.S. program"". The current page is for the dual degree. I will look for links on the page that could lead to the individual degree requirements.

I see ""Master of Science in Statistical Science"" under ""Degree Programs"" section on the left navigation. I'll browse that page.
I also need to find the Data Science M.S. program. I will try to find it on the same domain. I will look for a link to the Data Science M.S. program, it is not present directly on the current page.

I'll browse the ""Master of Science in Statistical Science"" page first.",The
248,"Indiana University, Bloomington",M.S., Dual M.S. Degree program in Data Science and Applied Statistics,文理学院,"Capstone project for Data Science portion, and internship or research paper for Statistical Science portion required.",SUCCESS,"Capstone project for Data Science portion, and internship or research paper for Statistical Science portion required.",,"A capstone project is required for the Data Science portion, and either a one-semester consulting internship or a research paper is required for the Statistical Science portion.","The browsed page describes the course requirements in detail but does not mention any non-coursework requirements such as a capstone, thesis, or exam. It states, ""Students will still complete the existing requirements of each individual degree."" This suggests I need to look into the requirements for the individual M.S. in Data Science and M.S. in Statistical Science programs.

Given the prompt's instruction to ""use primary university sources only"" and ""You may open additional pages that live under the same university’s *.edu* domain"", I will look for pages for the individual degrees. Since the current page is under `stat.indiana.edu`, I will look for links within this domain or use a targeted search.

I will search for ""Indiana University, Bloomington M.S. Data Science graduation requirements site:.edu"" and ""Indiana University, Bloomington M.S. Statistical Science graduation requirements site:.edu"" to find the individual degree requirements. Since the program is specifically called ""Dual M.S. Degree program in Data Science and Applied Statistics"", I will try to be more specific in my next search using the exact phrase provided by the prompt.

I will use the search query provided in the instructions, as it is more specific and might directly lead to the information."
249,"Indiana University, Bloomington",M.S.,Data Science—Applied Data Science Track,信息学，计算机和工程学院,Capstone project required,SUCCESS,Capstone project required,Capstone project required.,Capstone project required.,"A capstone project is required, which can be fulfilled via a capstone course, internship, or independent study project."
